opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,year,quarter,manager,regional_office,sector,year_established,revenue,employees,office_location,subsidiary_of,series,sales_price,profit_margin,close_value_k,sales_cycle,quarter_year,age_in_days
ENB2XD8G,Maureen Marcano,GTXPlusPro,Sonron,Won,11/4/2016,3/6/2017,4631,2017,2017Q1,Summer Sewald,West,telecommunications,1999,1699.85,5108,United States,Sonron,GTX,5482,-0.155235316,4.631,122,2017Q1,
09YE9QOV,Hayden Neloms,MGAdvanced,Finjob,Won,11/5/2016,3/11/2017,3393,2017,2017Q1,Celia Rouche,West,employment,1988,2059.9,3644,United States,,MG,3393,0,3.393,126,2017Q1,
3F5MZNEH,Rosalina Dieter,MGSpecial,Sonron,Lost,11/5/2016,3/3/2017,0,2017,2017Q1,Celia Rouche,West,telecommunications,1999,1699.85,5108,United States,Sonron,MG,55,-1,0,118,2017Q1,
M6WEJXC0,Rosalina Dieter,MGAdvanced,Scotfind,Won,11/5/2016,3/6/2017,3284,2017,2017Q1,Celia Rouche,West,software,1996,6354.87,16780,United States,Bubba Gump,MG,3393,-0.032124963,3.284,121,2017Q1,
6PTR7VBR,Versie Hillebrand,MGSpecial,Treequote,Won,11/6/2016,3/5/2017,61,2017,2017Q1,Dustin Brinkmann,Central,telecommunications,1988,5266.09,8595,United States,Sonron,MG,55,0.109090909,0.061,119,2017Q1,
902REDPA,Daniell Hammack,GTXPro,Xx-zobam,Lost,11/7/2016,3/9/2017,0,2017,2017Q1,Rocco Neubert,East,entertainment,1989,3838.39,8274,United States,,GTX,4821,-1,0,122,2017Q1,
5J9CMGDV,Elease Gluck,MGSpecial,Rantouch,Won,11/7/2016,3/8/2017,46,2017,2017Q1,Celia Rouche,West,telecommunications,1994,1188.42,3015,United States,,MG,55,-0.163636364,0.046,121,2017Q1,
JJXRR8R6,James Ascencio,GTXPlusPro,Fasehatice,Lost,11/7/2016,3/17/2017,0,2017,2017Q1,Summer Sewald,West,retail,1990,4968.91,7523,United States,,GTX,5482,-1,0,130,2017Q1,
WF4HA5NW,Moses Frase,MGSpecial,Ron-tech,Won,11/7/2016,3/18/2017,50,2017,2017Q1,Dustin Brinkmann,Central,medical,1992,3922.42,6837,United States,,MG,55,-0.090909091,0.05,131,2017Q1,
C5K2JP1H,Violet Mclelland,GTXPlusBasic,Vehement Capital Partners,Won,11/7/2016,3/11/2017,1014,2017,2017Q1,Cara Losch,East,finance,1993,646.1,883,United States,Golddex,GTX,1096,-0.074817518,1.014,124,2017Q1,
ADRB8OMB,Darcel Schlecht,GTXBasic,Warephase,Won,11/8/2016,3/26/2017,561,2017,2017Q1,Melvin Marxen,Central,services,1997,2041.73,5276,United States,Warephase,GTX,550,0.02,0.561,138,2017Q1,
SBCR987L,Kami Bicknell,GTXBasic,Zoomit,Won,11/10/2016,3/23/2017,590,2017,2017Q1,Summer Sewald,West,entertainment,1992,324.19,978,United States,,GTX,550,0.072727273,0.59,133,2017Q1,
UP409DSB,Maureen Marcano,MGAdvanced,Ganjaflex,Engaging,11/10/2016,,,,,Summer Sewald,West,retail,1995,5158.71,17479,Japan,,MG,3393,,,,,416
JSD4APT2,Versie Hillebrand,MGSpecial,Bioholding,Won,11/10/2016,3/12/2017,61,2017,2017Q1,Dustin Brinkmann,Central,medical,2012,587.34,1356,Philipines,,MG,55,0.109090909,0.061,122,2017Q1,
AO9Z2D17,Violet Mclelland,GTXPlusPro,Xx-zobam,Lost,11/10/2016,3/11/2017,0,2017,2017Q1,Cara Losch,East,entertainment,1989,3838.39,8274,United States,,GTX,5482,-1,0,121,2017Q1,
5M58DTJK,Elease Gluck,MGSpecial,Cheers,Won,11/11/2016,3/5/2017,58,2017,2017Q1,Celia Rouche,West,entertainment,1993,4269.9,6472,United States,Massive Dynamic,MG,55,0.054545455,0.058,114,2017Q1,
KNY1OSAB,Maureen Marcano,GTXPro,Labdrill,Won,11/11/2016,3/14/2017,4899,2017,2017Q1,Summer Sewald,West,medical,1985,2741.37,9226,United States,,GTX,4821,0.016179216,4.899,123,2017Q1,
EAZDUUM9,Rosie Papadopoulos,MGAdvanced,Zotware,Lost,11/11/2016,3/1/2017,0,2017,2017Q1,Cara Losch,East,software,1979,4478.47,13809,United States,,MG,3393,-1,0,110,2017Q1,
2STUSOFE,Versie Hillebrand,MGSpecial,dambase,Won,11/11/2016,3/3/2017,67,2017,2017Q1,Dustin Brinkmann,Central,marketing,1995,2173.98,2928,United States,Inity,MG,55,0.218181818,0.067,112,2017Q1,
JYKM0B00,James Ascencio,GTXPro,Xx-holding,Won,11/12/2016,3/6/2017,4338,2017,2017Q1,Summer Sewald,West,finance,1993,7537.24,20293,United States,,GTX,4821,-0.100186683,4.338,114,2017Q1,
KU28360J,Kary Hendrixson,GTXBasic,Fasehatice,Won,11/12/2016,3/19/2017,578,2017,2017Q1,Summer Sewald,West,retail,1990,4968.91,7523,United States,,GTX,550,0.050909091,0.578,127,2017Q1,
N4SD17JR,Reed Clapper,GTXBasic,Acme Corporation,Won,11/12/2016,3/1/2017,556,2017,2017Q1,Rocco Neubert,East,technolgy,1996,1100.04,2822,United States,Acme Corporation,GTX,550,0.010909091,0.556,109,2017Q1,
E67P9Y3Q,Rosalina Dieter,GTXBasic,Green-Plus,Won,11/12/2016,3/3/2017,635,2017,2017Q1,Celia Rouche,West,services,2003,692.19,1922,United States,,GTX,550,0.154545455,0.635,111,2017Q1,
AT3MMVIS,Wilburn Farren,MGAdvanced,The New York Inquirer,Won,11/12/2016,3/7/2017,3045,2017,2017Q1,Cara Losch,East,medical,1996,439.21,792,United States,,MG,3393,-0.102564103,3.045,115,2017Q1,
REJ11LRY,Garret Kinder,GTXPlusBasic,Mathtouch,Won,11/13/2016,3/14/2017,1233,2017,2017Q1,Cara Losch,East,marketing,1984,3027.46,9516,Jordan,,GTX,1096,0.125,1.233,121,2017Q1,
ERV0CAZ7,Versie Hillebrand,MGSpecial,Zumgoity,Won,11/13/2016,3/9/2017,60,2017,2017Q1,Dustin Brinkmann,Central,medical,1984,441.08,1210,United States,,MG,55,0.090909091,0.06,116,2017Q1,
8SOQADK7,Anna Snelling,MGSpecial,Gogozoom,Lost,11/14/2016,3/30/2017,0,2017,2017Q1,Dustin Brinkmann,Central,telecommunications,2007,86.68,187,United States,Sonron,MG,55,-1,0,136,2017Q1,
TCHFT25B,Darcel Schlecht,GTXBasic,Stanredtax,Lost,11/14/2016,3/8/2017,0,2017,2017Q1,Melvin Marxen,Central,finance,1987,1698.2,3798,United States,,GTX,550,-1,0,114,2017Q1,
CZVN09WN,Darcel Schlecht,GTXPlusBasic,Konmatfix,Won,11/14/2016,3/20/2017,1170,2017,2017Q1,Melvin Marxen,Central,marketing,1985,375.43,1190,United States,,GTX,1096,0.067518248,1.17,126,2017Q1,
EG7OFLFR,Kami Bicknell,GTXBasic,,Engaging,11/14/2016,,,,,Summer Sewald,West,,,,,,,GTX,550,,,,,412
30UQWUKB,Marty Freudenburg,GTXPlusBasic,Genco Pura Olive Oil Company,Won,11/15/2016,3/20/2017,1162,2017,2017Q1,Melvin Marxen,Central,retail,2007,894.33,1635,Italy,,GTX,1096,0.060218978,1.162,125,2017Q1,
OLVI7L8M,Cassey Cress,GTXPro,,Engaging,11/16/2016,,,,,Rocco Neubert,East,,,,,,,GTX,4821,,,,,410
97UN20YY,Darcel Schlecht,MGAdvanced,Conecom,Won,11/16/2016,3/14/2017,3725,2017,2017Q1,Melvin Marxen,Central,technolgy,2005,1520.66,1806,United States,,MG,3393,0.097848512,3.725,118,2017Q1,
JXLERZ9O,Kary Hendrixson,GTXBasic,Golddex,Won,11/16/2016,3/31/2017,559,2017,2017Q1,Summer Sewald,West,finance,2008,52.5,165,United States,Golddex,GTX,550,0.016363636,0.559,135,2017Q1,
6ROE69W5,Rosalina Dieter,GTXBasic,Plexzap,Lost,11/16/2016,3/11/2017,0,2017,2017Q1,Celia Rouche,West,retail,2001,2437.85,4874,United States,,GTX,550,-1,0,115,2017Q1,
0DFXFKT7,Darcel Schlecht,GTXPlusBasic,Rundofase,Lost,11/17/2016,3/21/2017,0,2017,2017Q1,Melvin Marxen,Central,technolgy,1983,1008.06,1238,United States,,GTX,1096,-1,0,124,2017Q1,
XKMZVSN4,James Ascencio,GTXPlusPro,Sonron,Won,11/17/2016,3/5/2017,4667,2017,2017Q1,Summer Sewald,West,telecommunications,1999,1699.85,5108,United States,Sonron,GTX,5482,-0.148668369,4.667,108,2017Q1,
IU8V0BZK,Marty Freudenburg,GTXPlusBasic,Finhigh,Won,11/17/2016,3/17/2017,903,2017,2017Q1,Melvin Marxen,Central,finance,2006,1102.43,1759,United States,,GTX,1096,-0.176094891,0.903,120,2017Q1,
XY42936P,Maureen Marcano,GTXPlusBasic,Finjob,Won,11/17/2016,3/13/2017,1180,2017,2017Q1,Summer Sewald,West,employment,1988,2059.9,3644,United States,,GTX,1096,0.076642336,1.18,116,2017Q1,
XRN54MBM,Niesha Huffines,GTXBasic,Ron-tech,Won,11/17/2016,3/5/2017,487,2017,2017Q1,Melvin Marxen,Central,medical,1992,3922.42,6837,United States,,GTX,550,-0.114545455,0.487,108,2017Q1,
2V848WZD,Lajuana Vencill,MGAdvanced,Stanredtax,Won,11/18/2016,3/4/2017,3180,2017,2017Q1,Dustin Brinkmann,Central,finance,1987,1698.2,3798,United States,,MG,3393,-0.062776304,3.18,106,2017Q1,
ONYNTUCG,Darcel Schlecht,GTXPro,Funholding,Lost,11/19/2016,3/17/2017,0,2017,2017Q1,Melvin Marxen,Central,finance,1991,2819.5,7227,United States,Golddex,GTX,4821,-1,0,118,2017Q1,
HIOHX80Y,Darcel Schlecht,MGAdvanced,Gogozoom,Won,11/19/2016,3/18/2017,3563,2017,2017Q1,Melvin Marxen,Central,telecommunications,2007,86.68,187,United States,Sonron,MG,3393,0.050103154,3.563,119,2017Q1,
F5U1ACDD,Kami Bicknell,GTXPlusBasic,,Engaging,11/19/2016,,,,,Summer Sewald,West,,,,,,,GTX,1096,,,,,407
LPKT07PV,Boris Faz,GTXPro,Opentech,Won,11/20/2016,3/23/2017,4704,2017,2017Q1,Rocco Neubert,East,finance,1994,355.23,853,United States,,GTX,4821,-0.024268824,4.704,123,2017Q1,
WPB2SLIG,Donn Cantrell,GTXPlusPro,Silis,Won,11/20/2016,3/14/2017,5585,2017,2017Q1,Rocco Neubert,East,medical,1994,2818.38,6290,United States,,GTX,5482,0.018788763,5.585,114,2017Q1,
XUSUEAV7,Elease Gluck,GTK500,Zoomit,Won,11/20/2016,3/9/2017,25897,2017,2017Q1,Celia Rouche,West,entertainment,1992,324.19,978,United States,,GTK,26768,-0.032538852,25.897,109,2017Q1,
ZZY4516R,Hayden Neloms,MGAdvanced,,Engaging,11/20/2016,,,,,Celia Rouche,West,,,,,,,MG,3393,,,,,406
3TYPII47,Kami Bicknell,GTXPlusBasic,Goodsilron,Won,11/20/2016,3/3/2017,1207,2017,2017Q1,Summer Sewald,West,marketing,2000,2952.73,5107,United States,,GTX,1096,0.101277372,1.207,103,2017Q1,
7WAX8Z8O,Lajuana Vencill,MGAdvanced,Cancity,Lost,11/20/2016,3/8/2017,0,2017,2017Q1,Dustin Brinkmann,Central,retail,2001,718.62,2448,United States,,MG,3393,-1,0,108,2017Q1,
MYDUMR3R,Lajuana Vencill,GTXBasic,Rangreen,Won,11/20/2016,3/4/2017,559,2017,2017Q1,Dustin Brinkmann,Central,technolgy,1987,2938.67,8775,Panama,,GTX,550,0.016363636,0.559,104,2017Q1,
0DRC1U9Q,Maureen Marcano,GTXBasic,Green-Plus,Engaging,11/20/2016,,,,,Summer Sewald,West,services,2003,692.19,1922,United States,,GTX,550,,,,,406
37JFKD4I,Niesha Huffines,GTXPlusBasic,dambase,Won,11/20/2016,3/9/2017,1033,2017,2017Q1,Melvin Marxen,Central,marketing,1995,2173.98,2928,United States,Inity,GTX,1096,-0.057481752,1.033,109,2017Q1,
25YKPHX8,Donn Cantrell,GTXBasic,Kan-code,Won,11/21/2016,3/21/2017,462,2017,2017Q1,Rocco Neubert,East,software,1982,11698.03,34288,United States,,GTX,550,-0.16,0.462,120,2017Q1,
BXXMA7F3,Hayden Neloms,MGAdvanced,Nam-zim,Lost,11/21/2016,3/1/2017,0,2017,2017Q1,Celia Rouche,West,services,1987,405.59,1179,Brazil,Warephase,MG,3393,-1,0,100,2017Q1,
GIUUTBXM,Kary Hendrixson,GTXPro,Y-corporation,Won,11/21/2016,3/14/2017,5539,2017,2017Q1,Summer Sewald,West,employment,1983,2871.35,9561,United States,,GTX,4821,0.148931757,5.539,113,2017Q1,
MFX2LR1Q,Lajuana Vencill,MGAdvanced,Ron-tech,Won,11/21/2016,3/15/2017,3573,2017,2017Q1,Dustin Brinkmann,Central,medical,1992,3922.42,6837,United States,,MG,3393,0.053050398,3.573,114,2017Q1,
DUHE9FLY,Marty Freudenburg,GTXPro,Conecom,Won,11/21/2016,3/1/2017,4926,2017,2017Q1,Melvin Marxen,Central,technolgy,2005,1520.66,1806,United States,,GTX,4821,0.021779714,4.926,100,2017Q1,
96BSG7R1,Zane Levy,GTXPlusBasic,Sunnamplex,Lost,11/21/2016,3/17/2017,0,2017,2017Q1,Summer Sewald,West,marketing,2008,894.37,1593,Poland,,GTX,1096,-1,0,116,2017Q1,
7FQMSWIX,Corliss Cosme,MGSpecial,Bioplex,Won,11/22/2016,3/4/2017,62,2017,2017Q1,Cara Losch,East,medical,1991,326.82,1016,United States,,MG,55,0.127272727,0.062,102,2017Q1,
C20AVXN7,Darcel Schlecht,GTXPro,Gogozoom,Won,11/22/2016,3/14/2017,4359,2017,2017Q1,Melvin Marxen,Central,telecommunications,2007,86.68,187,United States,Sonron,GTX,4821,-0.095830741,4.359,112,2017Q1,
GS1QVWCR,Kami Bicknell,GTXBasic,Plusstrip,Won,11/22/2016,3/31/2017,566,2017,2017Q1,Summer Sewald,West,entertainment,2002,349.81,315,United States,,GTX,550,0.029090909,0.566,129,2017Q1,
ZWH8FXY3,Marty Freudenburg,GTXBasic,Toughzap,Won,11/22/2016,3/3/2017,508,2017,2017Q1,Melvin Marxen,Central,retail,1995,332.43,799,United States,,GTX,550,-0.076363636,0.508,101,2017Q1,
2U94Y3Q9,Rosie Papadopoulos,MGAdvanced,Vehement Capital Partners,Lost,11/22/2016,3/20/2017,0,2017,2017Q1,Cara Losch,East,finance,1993,646.1,883,United States,Golddex,MG,3393,-1,0,118,2017Q1,
AAR79NOO,Versie Hillebrand,MGSpecial,Codehow,Won,11/22/2016,3/11/2017,51,2017,2017Q1,Dustin Brinkmann,Central,software,1998,2714.9,2641,United States,Acme Corporation,MG,55,-0.072727273,0.051,109,2017Q1,
B6B0PNR2,Vicki Laflamme,GTXPro,Dalttechnology,Won,11/22/2016,3/5/2017,4899,2017,2017Q1,Celia Rouche,West,software,2013,98.79,96,United States,Bubba Gump,GTX,4821,0.016179216,4.899,103,2017Q1,
M7I5O9YU,Corliss Cosme,GTXBasic,Cheers,Engaging,11/23/2016,,,,,Cara Losch,East,entertainment,1993,4269.9,6472,United States,Massive Dynamic,GTX,550,,,,,403
LXZA2OSZ,Corliss Cosme,GTXPlusPro,Ontomedia,Won,11/23/2016,3/3/2017,5790,2017,2017Q1,Cara Losch,East,employment,1997,882.12,2769,United States,,GTX,5482,0.056183874,5.79,100,2017Q1,
N0ONCYVZ,Donn Cantrell,MGSpecial,Kinnamplus,Lost,11/23/2016,3/30/2017,0,2017,2017Q1,Rocco Neubert,East,retail,2004,702.72,1831,United States,,MG,55,-1,0,127,2017Q1,
GYB4W2AU,Elease Gluck,MGAdvanced,,Engaging,11/23/2016,,,,,Celia Rouche,West,,,,,,,MG,3393,,,,,403
513DPFX5,Gladys Colclough,GTXPro,Codehow,Won,11/23/2016,3/3/2017,4438,2017,2017Q1,Melvin Marxen,Central,software,1998,2714.9,2641,United States,Acme Corporation,GTX,4821,-0.079444099,4.438,100,2017Q1,
RU023K5W,Gladys Colclough,MGAdvanced,Finhigh,Won,11/23/2016,3/17/2017,2972,2017,2017Q1,Melvin Marxen,Central,finance,2006,1102.43,1759,United States,,MG,3393,-0.124078986,2.972,114,2017Q1,
VDIU10RV,Markita Hansen,MGSpecial,Lexiqvolax,Engaging,11/23/2016,,,,,Celia Rouche,West,medical,2004,1618.89,3889,United States,,MG,55,,,,,403
BZCBQ514,Markita Hansen,GTXBasic,Y-corporation,Won,11/23/2016,3/1/2017,523,2017,2017Q1,Celia Rouche,West,employment,1983,2871.35,9561,United States,,GTX,550,-0.049090909,0.523,98,2017Q1,
HEE6P0QH,Anna Snelling,MGAdvanced,Statholdings,Won,11/24/2016,3/25/2017,3647,2017,2017Q1,Dustin Brinkmann,Central,employment,1997,291.27,586,United States,,MG,3393,0.074860006,3.647,121,2017Q1,
L8CHRJ2B,Cassey Cress,MGAdvanced,Umbrella Corporation,Won,11/24/2016,3/1/2017,4200,2017,2017Q1,Rocco Neubert,East,finance,1998,2022.14,5113,United States,,MG,3393,0.237842617,4.2,97,2017Q1,
579LZ3F9,Daniell Hammack,GTXPlusBasic,J-Texon,Engaging,11/24/2016,,,,,Rocco Neubert,East,retail,1989,1388.67,3583,United States,,GTX,1096,,,,,402
SU8JNMP4,Kami Bicknell,GTXPlusBasic,Bubba Gump,Engaging,11/24/2016,,,,,Summer Sewald,West,software,2002,987.39,2253,United States,Bubba Gump,GTX,1096,,,,,402
V2X2KMUR,Kami Bicknell,GTXPlusBasic,Faxquote,Won,11/24/2016,3/28/2017,1059,2017,2017Q1,Summer Sewald,West,telecommunications,1995,1825.82,5595,United States,Sonron,GTX,1096,-0.033759124,1.059,124,2017Q1,
AJIPJP75,Marty Freudenburg,GTXPlusBasic,Codehow,Lost,11/24/2016,3/5/2017,0,2017,2017Q1,Melvin Marxen,Central,software,1998,2714.9,2641,United States,Acme Corporation,GTX,1096,-1,0,101,2017Q1,
NYVA2G6U,Versie Hillebrand,MGSpecial,Dontechi,Won,11/24/2016,3/2/2017,57,2017,2017Q1,Dustin Brinkmann,Central,software,1982,4618,10083,United States,,MG,55,0.036363636,0.057,98,2017Q1,
FF45BXTL,Vicki Laflamme,MGAdvanced,Konex,Won,11/24/2016,3/27/2017,3671,2017,2017Q1,Celia Rouche,West,technolgy,1980,7708.38,13756,United States,,MG,3393,0.081933392,3.671,123,2017Q1,
TTA9LYBS,Anna Snelling,MGSpecial,Treequote,Won,11/25/2016,3/1/2017,58,2017,2017Q1,Dustin Brinkmann,Central,telecommunications,1988,5266.09,8595,United States,Sonron,MG,55,0.054545455,0.058,96,2017Q1,
PAGZQH8L,Cecily Lampkin,MGAdvanced,Treequote,Won,11/25/2016,3/6/2017,3956,2017,2017Q1,Dustin Brinkmann,Central,telecommunications,1988,5266.09,8595,United States,Sonron,MG,3393,0.165929856,3.956,101,2017Q1,
J7YF6DS7,Corliss Cosme,GTXPlusPro,Betasoloin,Won,11/25/2016,3/1/2017,5964,2017,2017Q1,Cara Losch,East,medical,1999,251.41,495,United States,,GTX,5482,0.087924115,5.964,96,2017Q1,
S5IXY4Z9,Corliss Cosme,GTXPro,Betasoloin,Won,11/25/2016,3/6/2017,4570,2017,2017Q1,Cara Losch,East,medical,1999,251.41,495,United States,,GTX,4821,-0.052063887,4.57,101,2017Q1,
JQBJMETQ,Darcel Schlecht,MGSpecial,Domzoom,Won,11/25/2016,3/27/2017,49,2017,2017Q1,Melvin Marxen,Central,entertainment,1998,217.87,551,United States,,MG,55,-0.109090909,0.049,122,2017Q1,
0LVWSWEW,Violet Mclelland,MGSpecial,Donquadtech,Won,11/25/2016,3/6/2017,65,2017,2017Q1,Cara Losch,East,technolgy,1992,1712.68,3194,United States,Acme Corporation,MG,55,0.181818182,0.065,101,2017Q1,
K53BC1T9,Anna Snelling,MGSpecial,Domzoom,Lost,11/26/2016,3/27/2017,0,2017,2017Q1,Dustin Brinkmann,Central,entertainment,1998,217.87,551,United States,,MG,55,-1,0,121,2017Q1,
D40N5I9Y,Darcel Schlecht,GTXPro,Finhigh,Won,11/26/2016,3/8/2017,4739,2017,2017Q1,Melvin Marxen,Central,finance,2006,1102.43,1759,United States,,GTX,4821,-0.017008919,4.739,102,2017Q1,
051QTX8Z,Niesha Huffines,GTXPlusBasic,Globex Corporation,Won,11/26/2016,3/21/2017,1080,2017,2017Q1,Melvin Marxen,Central,technolgy,2000,1223.72,2497,Norway,,GTX,1096,-0.01459854,1.08,115,2017Q1,
5D2XH04S,Reed Clapper,MGSpecial,Plussunin,Won,11/26/2016,3/12/2017,57,2017,2017Q1,Rocco Neubert,East,retail,2003,1419.98,4018,United States,,MG,55,0.036363636,0.057,106,2017Q1,
V9E582SK,Garret Kinder,GTXBasic,Konex,Won,11/27/2016,3/16/2017,469,2017,2017Q1,Cara Losch,East,technolgy,1980,7708.38,13756,United States,,GTX,550,-0.147272727,0.469,109,2017Q1,
UK0LEZRJ,Kary Hendrixson,GTXBasic,Condax,Won,11/27/2016,3/3/2017,532,2017,2017Q1,Summer Sewald,West,medical,2017,4.54,9,United States,,GTX,550,-0.032727273,0.532,96,2017Q1,
PFFHM7HR,Markita Hansen,MGAdvanced,Opentech,Engaging,11/27/2016,,,,,Celia Rouche,West,finance,1994,355.23,853,United States,,MG,3393,,,,,399
IT10CFQH,Rosalina Dieter,GTXBasic,Konex,Won,11/27/2016,3/26/2017,538,2017,2017Q1,Celia Rouche,West,technolgy,1980,7708.38,13756,United States,,GTX,550,-0.021818182,0.538,119,2017Q1,
8VKD2CCH,Rosie Papadopoulos,GTXPro,Massive Dynamic,Won,11/27/2016,3/21/2017,4829,2017,2017Q1,Cara Losch,East,entertainment,1989,665.06,1095,United States,Massive Dynamic,GTX,4821,0.001659407,4.829,114,2017Q1,
2XQAKBXH,Zane Levy,GTXPlusPro,Doncon,Won,11/27/2016,3/11/2017,5370,2017,2017Q1,Summer Sewald,West,technolgy,2010,587.72,1501,United States,,GTX,5482,-0.0204305,5.37,104,2017Q1,
7G7YLGJO,Zane Levy,GTXPlusPro,Hatfan,Won,11/27/2016,3/21/2017,6499,2017,2017Q1,Summer Sewald,West,services,1982,792.46,1299,United States,,GTX,5482,0.185516235,6.499,114,2017Q1,
GCA97W27,Darcel Schlecht,GTXPlusBasic,Genco Pura Olive Oil Company,Won,11/28/2016,3/6/2017,1161,2017,2017Q1,Melvin Marxen,Central,retail,2007,894.33,1635,Italy,,GTX,1096,0.059306569,1.161,98,2017Q1,
K8FUZHOG,Kary Hendrixson,GTXBasic,Scotfind,Won,11/28/2016,3/26/2017,576,2017,2017Q1,Summer Sewald,West,software,1996,6354.87,16780,United States,Bubba Gump,GTX,550,0.047272727,0.576,118,2017Q1,
5WJZMULK,Maureen Marcano,GTXPlusBasic,Hatfan,Won,11/28/2016,3/19/2017,979,2017,2017Q1,Summer Sewald,West,services,1982,792.46,1299,United States,,GTX,1096,-0.106751825,0.979,111,2017Q1,
ZPYD4T9W,Versie Hillebrand,MGSpecial,Stanredtax,Won,11/28/2016,3/7/2017,43,2017,2017Q1,Dustin Brinkmann,Central,finance,1987,1698.2,3798,United States,,MG,55,-0.218181818,0.043,99,2017Q1,
KE9ZEDS8,Gladys Colclough,MGSpecial,Scottech,Won,11/29/2016,3/7/2017,57,2017,2017Q1,Melvin Marxen,Central,marketing,2012,45.39,100,United States,Inity,MG,55,0.036363636,0.057,98,2017Q1,
7KK0HQ4C,Lajuana Vencill,MGSpecial,Ron-tech,Lost,11/29/2016,3/28/2017,0,2017,2017Q1,Dustin Brinkmann,Central,medical,1992,3922.42,6837,United States,,MG,55,-1,0,119,2017Q1,
FP7014Z0,Lajuana Vencill,GTXPlusBasic,Funholding,Won,11/29/2016,3/12/2017,948,2017,2017Q1,Dustin Brinkmann,Central,finance,1991,2819.5,7227,United States,Golddex,GTX,1096,-0.135036496,0.948,103,2017Q1,
N4HFHDMW,Wilburn Farren,MGAdvanced,Plussunin,Won,11/29/2016,3/10/2017,3012,2017,2017Q1,Cara Losch,East,retail,2003,1419.98,4018,United States,,MG,3393,-0.112290009,3.012,101,2017Q1,
2HFLKREC,Cassey Cress,MGAdvanced,Zotware,Won,11/30/2016,3/15/2017,3665,2017,2017Q1,Rocco Neubert,East,software,1979,4478.47,13809,United States,,MG,3393,0.080165046,3.665,105,2017Q1,
7JVTTVCO,Violet Mclelland,GTXBasic,Gekko & Co,Won,11/30/2016,3/24/2017,564,2017,2017Q1,Cara Losch,East,retail,1990,2520.83,3502,United States,,GTX,550,0.025454545,0.564,114,2017Q1,
