opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,engage_quarter,year,quarter,manager,regional_office,sector,year_established,revenue,employees,office_location,subsidiary_of,series,sales_price,profit_margin,close_value_k,days_to_close,regional_office_initial,manager_initials,sales_agent_initials,engage_date_formatted,new_opportunity_id,engage_week_number,close_week_number,Central_Cat,East_Cat,West_Cat,Client_Region
NL3JZH1Z,Anna Snelling,MGSpecial,Bioholding,Won,2016-11-04,2017-03-10,53.0,2016Q4,2017.0,2017Q1,Dustin Brinkmann,Central,medical,2012.0,587.34,1356.0,Philipines,,MG,55,-0.036363636363636376,0.053,126.0,C,DB,AS,20161104,C/DB/AS2,44,10,primary,support,support,Central Core
KWVA7VR1,Gladys Colclough,GTXPro,Genco Pura Olive Oil Company,Lost,2016-11-04,2017-03-18,0.0,2016Q4,2017.0,2017Q1,Melvin Marxen,Central,retail,2007.0,894.33,1635.0,Italy,,GTX,4821,-1.0,0.0,134.0,C,MM,GC,20161104,C/MM/GC1,44,11,primary,support,support,Central Core
S8DX3XOU,James Ascencio,GTXPlusPro,Sunnamplex,Won,2016-11-04,2017-03-10,5169.0,2016Q4,2017.0,2017Q1,Summer Sewald,West,marketing,2008.0,894.37,1593.0,Poland,,GTX,5482,-0.057095950383071914,5.169,126.0,W,SS,JA,20161104,W/SS/JA2,44,10,support,support,primary,West Core
ENB2XD8G,Maureen Marcano,GTXPlusPro,Sonron,Won,2016-11-04,2017-03-06,4631.0,2016Q4,2017.0,2017Q1,Summer Sewald,West,telecommunications,1999.0,1699.85,5108.0,United States,Sonron,GTX,5482,-0.1552353155782561,4.631,122.0,W,SS,MM,20161104,W/SS/MM1,44,10,support,support,primary,West Core
09YE9QOV,Hayden Neloms,MGAdvanced,Finjob,Won,2016-11-05,2017-03-11,3393.0,2016Q4,2017.0,2017Q1,Celia Rouche,West,employment,1988.0,2059.9,3644.0,United States,,MG,3393,0.0,3.393,126.0,W,CR,HN,20161105,W/CR/HN1,44,10,support,support,primary,West Core
3F5MZNEH,Rosalina Dieter,MGSpecial,Sonron,Lost,2016-11-05,2017-03-03,0.0,2016Q4,2017.0,2017Q1,Celia Rouche,West,telecommunications,1999.0,1699.85,5108.0,United States,Sonron,MG,55,-1.0,0.0,118.0,W,CR,RD,20161105,W/CR/RD1,44,9,support,support,primary,West Core
M6WEJXC0,Rosalina Dieter,MGAdvanced,Scotfind,Won,2016-11-05,2017-03-06,3284.0,2016Q4,2017.0,2017Q1,Celia Rouche,West,software,1996.0,6354.87,16780.0,United States,Bubba Gump,MG,3393,-0.03212496315944591,3.284,121.0,W,CR,RD,20161105,W/CR/RD2,44,10,support,support,primary,West Core
6PTR7VBR,Versie Hillebrand,MGSpecial,Treequote,Won,2016-11-06,2017-03-05,61.0,2016Q4,2017.0,2017Q1,Dustin Brinkmann,Central,telecommunications,1988.0,5266.09,8595.0,United States,Sonron,MG,55,0.10909090909090913,0.061,119.0,C,DB,VH,20161106,C/DB/VH1,44,9,primary,support,support,Central Core
902REDPA,Daniell Hammack,GTXPro,Xx-zobam,Lost,2016-11-07,2017-03-09,0.0,2016Q4,2017.0,2017Q1,Rocco Neubert,East,entertainment,1989.0,3838.39,8274.0,United States,,GTX,4821,-1.0,0.0,122.0,E,RN,DH,20161107,E/RN/DH1,45,10,support,primary,support,East Core
5J9CMGDV,Elease Gluck,MGSpecial,Rantouch,Won,2016-11-07,2017-03-08,46.0,2016Q4,2017.0,2017Q1,Celia Rouche,West,telecommunications,1994.0,1188.42,3015.0,United States,,MG,55,-0.1636363636363637,0.046,121.0,W,CR,EG,20161107,W/CR/EG1,45,10,support,support,primary,West Core
JJXRR8R6,James Ascencio,GTXPlusPro,Fasehatice,Lost,2016-11-07,2017-03-17,0.0,2016Q4,2017.0,2017Q1,Summer Sewald,West,retail,1990.0,4968.91,7523.0,United States,,GTX,5482,-1.0,0.0,130.0,W,SS,JA,20161107,W/SS/JA3,45,11,support,support,primary,West Core
WF4HA5NW,Moses Frase,MGSpecial,Ron-tech,Won,2016-11-07,2017-03-18,50.0,2016Q4,2017.0,2017Q1,Dustin Brinkmann,Central,medical,1992.0,3922.42,6837.0,United States,,MG,55,-0.09090909090909094,0.05,131.0,C,DB,MF,20161107,C/DB/MF3,45,11,primary,support,support,Central Core
C5K2JP1H,Violet Mclelland,GTXPlusBasic,Vehement Capital Partners,Won,2016-11-07,2017-03-11,1014.0,2016Q4,2017.0,2017Q1,Cara Losch,East,finance,1993.0,646.1,883.0,United States,Golddex,GTX,1096,-0.07481751824817517,1.014,124.0,E,CL,VM,20161107,E/CL/VM1,45,10,support,primary,support,East Core
ADRB8OMB,Darcel Schlecht,GTXBasic,Warephase,Won,2016-11-08,2017-03-26,561.0,2016Q4,2017.0,2017Q1,Melvin Marxen,Central,services,1997.0,2041.73,5276.0,United States,Warephase,GTX,550,0.020000000000000018,0.561,138.0,C,MM,DS,20161108,C/MM/DS3,45,12,primary,support,support,Central Core
SBCR987L,Kami Bicknell,GTXBasic,Zoomit,Won,2016-11-10,2017-03-23,590.0,2016Q4,2017.0,2017Q1,Summer Sewald,West,entertainment,1992.0,324.19,978.0,United States,,GTX,550,0.07272727272727275,0.59,133.0,W,SS,KB,20161110,W/SS/KB1,45,12,support,support,primary,West Core
UP409DSB,Maureen Marcano,MGAdvanced,Ganjaflex,Engaging,2016-11-10,2017-12-31,,2016Q4,,,Summer Sewald,West,retail,1995.0,5158.71,17479.0,Japan,,MG,3393,,,416.0,W,SS,MM,20161110,W/SS/MM2,45,52,support,primary,support,East Core
JSD4APT2,Versie Hillebrand,MGSpecial,Bioholding,Won,2016-11-10,2017-03-12,61.0,2016Q4,2017.0,2017Q1,Dustin Brinkmann,Central,medical,2012.0,587.34,1356.0,Philipines,,MG,55,0.10909090909090913,0.061,122.0,C,DB,VH,20161110,C/DB/VH2,45,10,primary,support,support,Central Core
AO9Z2D17,Violet Mclelland,GTXPlusPro,Xx-zobam,Lost,2016-11-10,2017-03-11,0.0,2016Q4,2017.0,2017Q1,Cara Losch,East,entertainment,1989.0,3838.39,8274.0,United States,,GTX,5482,-1.0,0.0,121.0,E,CL,VM,20161110,E/CL/VM2,45,10,support,primary,support,East Core
5M58DTJK,Elease Gluck,MGSpecial,Cheers,Won,2016-11-11,2017-03-05,58.0,2016Q4,2017.0,2017Q1,Celia Rouche,West,entertainment,1993.0,4269.9,6472.0,United States,Massive Dynamic,MG,55,0.05454545454545445,0.058,114.0,W,CR,EG,20161111,W/CR/EG2,45,9,support,support,primary,West Core
KNY1OSAB,Maureen Marcano,GTXPro,Labdrill,Won,2016-11-11,2017-03-14,4899.0,2016Q4,2017.0,2017Q1,Summer Sewald,West,medical,1985.0,2741.37,9226.0,United States,,GTX,4821,0.016179215930304913,4.899,123.0,W,SS,MM,20161111,W/SS/MM3,45,11,support,support,primary,West Core
EAZDUUM9,Rosie Papadopoulos,MGAdvanced,Zotware,Lost,2016-11-11,2017-03-01,0.0,2016Q4,2017.0,2017Q1,Cara Losch,East,software,1979.0,4478.47,13809.0,United States,,MG,3393,-1.0,0.0,110.0,E,CL,RP,20161111,E/CL/RP1,45,9,support,primary,support,East Core
2STUSOFE,Versie Hillebrand,MGSpecial,dambase,Won,2016-11-11,2017-03-03,67.0,2016Q4,2017.0,2017Q1,Dustin Brinkmann,Central,marketing,1995.0,2173.98,2928.0,United States,Inity,MG,55,0.21818181818181825,0.067,112.0,C,DB,VH,20161111,C/DB/VH3,45,9,primary,support,support,Central Core
JYKM0B00,James Ascencio,GTXPro,Xx-holding,Won,2016-11-12,2017-03-06,4338.0,2016Q4,2017.0,2017Q1,Summer Sewald,West,finance,1993.0,7537.24,20293.0,United States,,GTX,4821,-0.10018668326073432,4.338,114.0,W,SS,JA,20161112,W/SS/JA4,45,10,support,support,primary,West Core
KU28360J,Kary Hendrixson,GTXBasic,Fasehatice,Won,2016-11-12,2017-03-19,578.0,2016Q4,2017.0,2017Q1,Summer Sewald,West,retail,1990.0,4968.91,7523.0,United States,,GTX,550,0.050909090909091015,0.578,127.0,W,SS,KH,20161112,W/SS/KH1,45,11,support,support,primary,West Core
N4SD17JR,Reed Clapper,GTXBasic,Acme Corporation,Won,2016-11-12,2017-03-01,556.0,2016Q4,2017.0,2017Q1,Rocco Neubert,East,technolgy,1996.0,1100.04,2822.0,United States,Acme Corporation,GTX,550,0.01090909090909098,0.556,109.0,E,RN,RC,20161112,E/RN/RC1,45,9,support,primary,support,East Core
E67P9Y3Q,Rosalina Dieter,GTXBasic,Green-Plus,Won,2016-11-12,2017-03-03,635.0,2016Q4,2017.0,2017Q1,Celia Rouche,West,services,2003.0,692.19,1922.0,United States,,GTX,550,0.15454545454545454,0.635,111.0,W,CR,RD,20161112,W/CR/RD3,45,9,support,support,primary,West Core
AT3MMVIS,Wilburn Farren,MGAdvanced,The New York Inquirer,Won,2016-11-12,2017-03-07,3045.0,2016Q4,2017.0,2017Q1,Cara Losch,East,medical,1996.0,439.21,792.0,United States,,MG,3393,-0.10256410256410253,3.045,115.0,E,CL,WF,20161112,E/CL/WF1,45,10,support,primary,support,East Core
REJ11LRY,Garret Kinder,GTXPlusBasic,Mathtouch,Won,2016-11-13,2017-03-14,1233.0,2016Q4,2017.0,2017Q1,Cara Losch,East,marketing,1984.0,3027.46,9516.0,Jordan,,GTX,1096,0.125,1.233,121.0,E,CL,GK,20161113,E/CL/GK1,45,11,support,primary,support,East Core
ERV0CAZ7,Versie Hillebrand,MGSpecial,Zumgoity,Won,2016-11-13,2017-03-09,60.0,2016Q4,2017.0,2017Q1,Dustin Brinkmann,Central,medical,1984.0,441.08,1210.0,United States,,MG,55,0.09090909090909083,0.06,116.0,C,DB,VH,20161113,C/DB/VH4,45,10,primary,support,support,Central Core
8SOQADK7,Anna Snelling,MGSpecial,Gogozoom,Lost,2016-11-14,2017-03-30,0.0,2016Q4,2017.0,2017Q1,Dustin Brinkmann,Central,telecommunications,2007.0,86.68,187.0,United States,Sonron,MG,55,-1.0,0.0,136.0,C,DB,AS,20161114,C/DB/AS3,46,13,primary,support,support,Central Core
TCHFT25B,Darcel Schlecht,GTXBasic,Stanredtax,Lost,2016-11-14,2017-03-08,0.0,2016Q4,2017.0,2017Q1,Melvin Marxen,Central,finance,1987.0,1698.2,3798.0,United States,,GTX,550,-1.0,0.0,114.0,C,MM,DS,20161114,C/MM/DS4,46,10,primary,support,support,Central Core
CZVN09WN,Darcel Schlecht,GTXPlusBasic,Konmatfix,Won,2016-11-14,2017-03-20,1170.0,2016Q4,2017.0,2017Q1,Melvin Marxen,Central,marketing,1985.0,375.43,1190.0,United States,,GTX,1096,0.06751824817518237,1.17,126.0,C,MM,DS,20161114,C/MM/DS5,46,12,primary,support,support,Central Core
EG7OFLFR,Kami Bicknell,GTXBasic,,Engaging,2016-11-14,2017-12-31,,2016Q4,,,Summer Sewald,West,,,,,,,GTX,550,,,412.0,W,SS,KB,20161114,W/SS/KB2,46,52,,,,Other
30UQWUKB,Marty Freudenburg,GTXPlusBasic,Genco Pura Olive Oil Company,Won,2016-11-15,2017-03-20,1162.0,2016Q4,2017.0,2017Q1,Melvin Marxen,Central,retail,2007.0,894.33,1635.0,Italy,,GTX,1096,0.06021897810218979,1.162,125.0,C,MM,MF,20161115,C/MM/MF1,46,12,primary,support,support,Central Core
OLVI7L8M,Cassey Cress,GTXPro,,Engaging,2016-11-16,2017-12-31,,2016Q4,,,Rocco Neubert,East,,,,,,,GTX,4821,,,410.0,E,RN,CC,20161116,E/RN/CC1,46,52,,,,Other
97UN20YY,Darcel Schlecht,MGAdvanced,Conecom,Won,2016-11-16,2017-03-14,3725.0,2016Q4,2017.0,2017Q1,Melvin Marxen,Central,technolgy,2005.0,1520.66,1806.0,United States,,MG,3393,0.09784851164161501,3.725,118.0,C,MM,DS,20161116,C/MM/DS6,46,11,primary,support,support,Central Core
JXLERZ9O,Kary Hendrixson,GTXBasic,Golddex,Won,2016-11-16,2017-03-31,559.0,2016Q4,2017.0,2017Q1,Summer Sewald,West,finance,2008.0,52.5,165.0,United States,Golddex,GTX,550,0.016363636363636358,0.559,135.0,W,SS,KH,20161116,W/SS/KH2,46,13,support,support,primary,West Core
6ROE69W5,Rosalina Dieter,GTXBasic,Plexzap,Lost,2016-11-16,2017-03-11,0.0,2016Q4,2017.0,2017Q1,Celia Rouche,West,retail,2001.0,2437.85,4874.0,United States,,GTX,550,-1.0,0.0,115.0,W,CR,RD,20161116,W/CR/RD4,46,10,support,support,primary,West Core
0DFXFKT7,Darcel Schlecht,GTXPlusBasic,Rundofase,Lost,2016-11-17,2017-03-21,0.0,2016Q4,2017.0,2017Q1,Melvin Marxen,Central,technolgy,1983.0,1008.06,1238.0,United States,,GTX,1096,-1.0,0.0,124.0,C,MM,DS,20161117,C/MM/DS7,46,12,primary,support,support,Central Core
XKMZVSN4,James Ascencio,GTXPlusPro,Sonron,Won,2016-11-17,2017-03-05,4667.0,2016Q4,2017.0,2017Q1,Summer Sewald,West,telecommunications,1999.0,1699.85,5108.0,United States,Sonron,GTX,5482,-0.14866836920831816,4.667,108.0,W,SS,JA,20161117,W/SS/JA5,46,9,support,support,primary,West Core
IU8V0BZK,Marty Freudenburg,GTXPlusBasic,Finhigh,Won,2016-11-17,2017-03-17,903.0,2016Q4,2017.0,2017Q1,Melvin Marxen,Central,finance,2006.0,1102.43,1759.0,United States,,GTX,1096,-0.17609489051094895,0.903,120.0,C,MM,MF,20161117,C/MM/MF2,46,11,primary,support,support,Central Core
XY42936P,Maureen Marcano,GTXPlusBasic,Finjob,Won,2016-11-17,2017-03-13,1180.0,2016Q4,2017.0,2017Q1,Summer Sewald,West,employment,1988.0,2059.9,3644.0,United States,,GTX,1096,0.07664233576642343,1.18,116.0,W,SS,MM,20161117,W/SS/MM4,46,11,support,support,primary,West Core
XRN54MBM,Niesha Huffines,GTXBasic,Ron-tech,Won,2016-11-17,2017-03-05,487.0,2016Q4,2017.0,2017Q1,Melvin Marxen,Central,medical,1992.0,3922.42,6837.0,United States,,GTX,550,-0.1145454545454545,0.487,108.0,C,MM,NH,20161117,C/MM/NH2,46,9,primary,support,support,Central Core
2V848WZD,Lajuana Vencill,MGAdvanced,Stanredtax,Won,2016-11-18,2017-03-04,3180.0,2016Q4,2017.0,2017Q1,Dustin Brinkmann,Central,finance,1987.0,1698.2,3798.0,United States,,MG,3393,-0.06277630415561453,3.18,106.0,C,DB,LV,20161118,C/DB/LV1,46,9,primary,support,support,Central Core
ONYNTUCG,Darcel Schlecht,GTXPro,Funholding,Lost,2016-11-19,2017-03-17,0.0,2016Q4,2017.0,2017Q1,Melvin Marxen,Central,finance,1991.0,2819.5,7227.0,United States,Golddex,GTX,4821,-1.0,0.0,118.0,C,MM,DS,20161119,C/MM/DS8,46,11,primary,support,support,Central Core
HIOHX80Y,Darcel Schlecht,MGAdvanced,Gogozoom,Won,2016-11-19,2017-03-18,3563.0,2016Q4,2017.0,2017Q1,Melvin Marxen,Central,telecommunications,2007.0,86.68,187.0,United States,Sonron,MG,3393,0.05010315355142936,3.563,119.0,C,MM,DS,20161119,C/MM/DS9,46,11,primary,support,support,Central Core
F5U1ACDD,Kami Bicknell,GTXPlusBasic,,Engaging,2016-11-19,2017-12-31,,2016Q4,,,Summer Sewald,West,,,,,,,GTX,1096,,,407.0,W,SS,KB,20161119,W/SS/KB3,46,52,,,,Other
LPKT07PV,Boris Faz,GTXPro,Opentech,Won,2016-11-20,2017-03-23,4704.0,2016Q4,2017.0,2017Q1,Rocco Neubert,East,finance,1994.0,355.23,853.0,United States,,GTX,4821,-0.02426882389545737,4.704,123.0,E,RN,BF,20161120,E/RN/BF1,46,12,support,primary,support,East Core
WPB2SLIG,Donn Cantrell,GTXPlusPro,Silis,Won,2016-11-20,2017-03-14,5585.0,2016Q4,2017.0,2017Q1,Rocco Neubert,East,medical,1994.0,2818.38,6290.0,United States,,GTX,5482,0.018788763225100258,5.585,114.0,E,RN,DC,20161120,E/RN/DC1,46,11,support,primary,support,East Core
XUSUEAV7,Elease Gluck,GTK500,Zoomit,Won,2016-11-20,2017-03-09,25897.0,2016Q4,2017.0,2017Q1,Celia Rouche,West,entertainment,1992.0,324.19,978.0,United States,,GTK,26768,-0.03253885236102805,25.897,109.0,W,CR,EG,20161120,W/CR/EG3,46,10,support,support,primary,West Core
ZZY4516R,Hayden Neloms,MGAdvanced,,Engaging,2016-11-20,2017-12-31,,2016Q4,,,Celia Rouche,West,,,,,,,MG,3393,,,406.0,W,CR,HN,20161120,W/CR/HN2,46,52,,,,Other
3TYPII47,Kami Bicknell,GTXPlusBasic,Goodsilron,Won,2016-11-20,2017-03-03,1207.0,2016Q4,2017.0,2017Q1,Summer Sewald,West,marketing,2000.0,2952.73,5107.0,United States,,GTX,1096,0.10127737226277378,1.207,103.0,W,SS,KB,20161120,W/SS/KB4,46,9,support,support,primary,West Core
7WAX8Z8O,Lajuana Vencill,MGAdvanced,Cancity,Lost,2016-11-20,2017-03-08,0.0,2016Q4,2017.0,2017Q1,Dustin Brinkmann,Central,retail,2001.0,718.62,2448.0,United States,,MG,3393,-1.0,0.0,108.0,C,DB,LV,20161120,C/DB/LV2,46,10,primary,support,support,Central Core
MYDUMR3R,Lajuana Vencill,GTXBasic,Rangreen,Won,2016-11-20,2017-03-04,559.0,2016Q4,2017.0,2017Q1,Dustin Brinkmann,Central,technolgy,1987.0,2938.67,8775.0,Panama,,GTX,550,0.016363636363636358,0.559,104.0,C,DB,LV,20161120,C/DB/LV3,46,9,primary,support,support,Central Core
0DRC1U9Q,Maureen Marcano,GTXBasic,Green-Plus,Engaging,2016-11-20,2017-12-31,,2016Q4,,,Summer Sewald,West,services,2003.0,692.19,1922.0,United States,,GTX,550,,,406.0,W,SS,MM,20161120,W/SS/MM5,46,52,support,support,primary,West Core
37JFKD4I,Niesha Huffines,GTXPlusBasic,dambase,Won,2016-11-20,2017-03-09,1033.0,2016Q4,2017.0,2017Q1,Melvin Marxen,Central,marketing,1995.0,2173.98,2928.0,United States,Inity,GTX,1096,-0.05748175182481752,1.033,109.0,C,MM,NH,20161120,C/MM/NH3,46,10,primary,support,support,Central Core
25YKPHX8,Donn Cantrell,GTXBasic,Kan-code,Won,2016-11-21,2017-03-21,462.0,2016Q4,2017.0,2017Q1,Rocco Neubert,East,software,1982.0,11698.03,34288.0,United States,,GTX,550,-0.16000000000000003,0.462,120.0,E,RN,DC,20161121,E/RN/DC2,47,12,support,split2,split2,East-West Split
BXXMA7F3,Hayden Neloms,MGAdvanced,Nam-zim,Lost,2016-11-21,2017-03-01,0.0,2016Q4,2017.0,2017Q1,Celia Rouche,West,services,1987.0,405.59,1179.0,Brazil,Warephase,MG,3393,-1.0,0.0,100.0,W,CR,HN,20161121,W/CR/HN3,47,9,support,support,primary,West Core
GIUUTBXM,Kary Hendrixson,GTXPro,Y-corporation,Won,2016-11-21,2017-03-14,5539.0,2016Q4,2017.0,2017Q1,Summer Sewald,West,employment,1983.0,2871.35,9561.0,United States,,GTX,4821,0.1489317568969093,5.539,113.0,W,SS,KH,20161121,W/SS/KH3,47,11,support,support,primary,West Core
MFX2LR1Q,Lajuana Vencill,MGAdvanced,Ron-tech,Won,2016-11-21,2017-03-15,3573.0,2016Q4,2017.0,2017Q1,Dustin Brinkmann,Central,medical,1992.0,3922.42,6837.0,United States,,MG,3393,0.05305039787798416,3.573,114.0,C,DB,LV,20161121,C/DB/LV4,47,11,primary,support,support,Central Core
DUHE9FLY,Marty Freudenburg,GTXPro,Conecom,Won,2016-11-21,2017-03-01,4926.0,2016Q4,2017.0,2017Q1,Melvin Marxen,Central,technolgy,2005.0,1520.66,1806.0,United States,,GTX,4821,0.02177971375233345,4.926,100.0,C,MM,MF,20161121,C/MM/MF3,47,9,primary,support,support,Central Core
96BSG7R1,Zane Levy,GTXPlusBasic,Sunnamplex,Lost,2016-11-21,2017-03-17,0.0,2016Q4,2017.0,2017Q1,Summer Sewald,West,marketing,2008.0,894.37,1593.0,Poland,,GTX,1096,-1.0,0.0,116.0,W,SS,ZL,20161121,W/SS/ZL2,47,11,support,support,primary,West Core
7FQMSWIX,Corliss Cosme,MGSpecial,Bioplex,Won,2016-11-22,2017-03-04,62.0,2016Q4,2017.0,2017Q1,Cara Losch,East,medical,1991.0,326.82,1016.0,United States,,MG,55,0.1272727272727272,0.062,102.0,E,CL,CC,20161122,E/CL/CC1,47,9,support,primary,support,East Core
C20AVXN7,Darcel Schlecht,GTXPro,Gogozoom,Won,2016-11-22,2017-03-14,4359.0,2016Q4,2017.0,2017Q1,Melvin Marxen,Central,telecommunications,2007.0,86.68,187.0,United States,Sonron,GTX,4821,-0.09583074051026763,4.359,112.0,C,MM,DS,20161122,C/MM/DS10,47,11,primary,support,support,Central Core
GS1QVWCR,Kami Bicknell,GTXBasic,Plusstrip,Won,2016-11-22,2017-03-31,566.0,2016Q4,2017.0,2017Q1,Summer Sewald,West,entertainment,2002.0,349.81,315.0,United States,,GTX,550,0.029090909090909056,0.566,129.0,W,SS,KB,20161122,W/SS/KB5,47,13,support,support,primary,West Core
ZWH8FXY3,Marty Freudenburg,GTXBasic,Toughzap,Won,2016-11-22,2017-03-03,508.0,2016Q4,2017.0,2017Q1,Melvin Marxen,Central,retail,1995.0,332.43,799.0,United States,,GTX,550,-0.07636363636363641,0.508,101.0,C,MM,MF,20161122,C/MM/MF4,47,9,primary,support,support,Central Core
2U94Y3Q9,Rosie Papadopoulos,MGAdvanced,Vehement Capital Partners,Lost,2016-11-22,2017-03-20,0.0,2016Q4,2017.0,2017Q1,Cara Losch,East,finance,1993.0,646.1,883.0,United States,Golddex,MG,3393,-1.0,0.0,118.0,E,CL,RP,20161122,E/CL/RP2,47,12,support,primary,support,East Core
AAR79NOO,Versie Hillebrand,MGSpecial,Codehow,Won,2016-11-22,2017-03-11,51.0,2016Q4,2017.0,2017Q1,Dustin Brinkmann,Central,software,1998.0,2714.9,2641.0,United States,Acme Corporation,MG,55,-0.07272727272727275,0.051,109.0,C,DB,VH,20161122,C/DB/VH5,47,10,primary,support,support,Central Core
B6B0PNR2,Vicki Laflamme,GTXPro,Dalttechnology,Won,2016-11-22,2017-03-05,4899.0,2016Q4,2017.0,2017Q1,Celia Rouche,West,software,2013.0,98.79,96.0,United States,Bubba Gump,GTX,4821,0.016179215930304913,4.899,103.0,W,CR,VL,20161122,W/CR/VL2,47,9,support,support,primary,West Core
M7I5O9YU,Corliss Cosme,GTXBasic,Cheers,Engaging,2016-11-23,2017-12-31,,2016Q4,,,Cara Losch,East,entertainment,1993.0,4269.9,6472.0,United States,Massive Dynamic,GTX,550,,,403.0,E,CL,CC,20161123,E/CL/CC2,47,52,support,support,primary,West Core
LXZA2OSZ,Corliss Cosme,GTXPlusPro,Ontomedia,Won,2016-11-23,2017-03-03,5790.0,2016Q4,2017.0,2017Q1,Cara Losch,East,employment,1997.0,882.12,2769.0,United States,,GTX,5482,0.056183874498358266,5.79,100.0,E,CL,CC,20161123,E/CL/CC3,47,9,support,primary,support,East Core
N0ONCYVZ,Donn Cantrell,MGSpecial,Kinnamplus,Lost,2016-11-23,2017-03-30,0.0,2016Q4,2017.0,2017Q1,Rocco Neubert,East,retail,2004.0,702.72,1831.0,United States,,MG,55,-1.0,0.0,127.0,E,RN,DC,20161123,E/RN/DC3,47,13,support,primary,support,East Core
GYB4W2AU,Elease Gluck,MGAdvanced,,Engaging,2016-11-23,2017-12-31,,2016Q4,,,Celia Rouche,West,,,,,,,MG,3393,,,403.0,W,CR,EG,20161123,W/CR/EG4,47,52,,,,Other
513DPFX5,Gladys Colclough,GTXPro,Codehow,Won,2016-11-23,2017-03-03,4438.0,2016Q4,2017.0,2017Q1,Melvin Marxen,Central,software,1998.0,2714.9,2641.0,United States,Acme Corporation,GTX,4821,-0.07944409873470237,4.438,100.0,C,MM,GC,20161123,C/MM/GC2,47,9,primary,support,support,Central Core
RU023K5W,Gladys Colclough,MGAdvanced,Finhigh,Won,2016-11-23,2017-03-17,2972.0,2016Q4,2017.0,2017Q1,Melvin Marxen,Central,finance,2006.0,1102.43,1759.0,United States,,MG,3393,-0.12407898614795165,2.972,114.0,C,MM,GC,20161123,C/MM/GC3,47,11,primary,support,support,Central Core
